mapname,planURL
Penrose,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LSW_ALL_06142016_reduced.pdf
Point Breeze,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Port Richmond,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/RW%20District%20Plan_Final.pdf
Powelton,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Queen Village,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Rhawnhurst,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/CNE_DP_MAR%2017.pdf
Richmond,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/RW%20District%20Plan_Final.pdf
Rittenhouse,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Roxborough,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Roxborough Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Sharswood,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Society Hill,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Somerton,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Southwest Germantown,https://www.phila.gov/CityPlanning/plans/Blight%20and%20Redevelopment%20Reports/Germantown%20Redevelopment%20Area%20Plan.PCPC.1967.pdf
Southwest Schuylkill,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LSW_ALL_06142016_reduced.pdf
Spring Garden,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Spruce Hill,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Stadium District,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LS%20District%20Plan.pdf
Stanton,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Strawberry Mansion,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Summerdale,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNE%20DP%20Full_Final.pdf
Tacony,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Delaware%20District%20Plan_Book_FINAL_for%20web%20with%20links_v6_reduced.pdf
Tioga,https://www.phila.gov/CityPlanning/plans/Area%20Plans/Tioga2010.pdf
Torresdale,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Delaware%20District%20Plan_Book_FINAL_for%20web%20with%20links_v6_reduced.pdf
University City,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Upper Kensington,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/RW%20District%20Plan_Final.pdf
Upper Roxborough,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Walnut Hill,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/WALNUT%20HILL%202016%20-%20FEB19.pdf
Washington Square West,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
West Central Germantown,https://www.phila.gov/CityPlanning/plans/Area%20Plans/CentGtownBeautyPlan.pdf
West Kensington,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
West Mount Airy,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/Mt.%20Airy%202025%20Final%20Plan.pdf
West Oak Lane,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
West Parkside,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/WestParkReport.pdf
West Passyunk,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
West Poplar,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
West Powelton,https://www.dvrpc.org/reports/04048.pdf
West Torresdale,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Whitman,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Winchester Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Wissahickon,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Wissinoming,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Delaware%20District%20Plan_Book_FINAL_for%20web%20with%20links_v6_reduced.pdf
Wister,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Woodland Terrace,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Wynnefield,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/WestParkReport.pdf
Wynnefield Heights,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/WestParkReport.pdf
Yorktown,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/YorktownMasterPlan2015.pdf
